reference_no,issued_in,consigned_from,consigned_to,transport_route,official_use,item_number,package_marks,package_description,origin_criterion,gross_weight_or_quantity,invoice_number_date,certification,declaration
GSP-REF-001,Mumbai,ABC Exports Pvt Ltd\n123 Export Road\nMumbai,XYZ Imports Ltd\n456 Import Ave\nBerlin,Germany via Sea,Verified and cleared,1,Box-001,Men's Cotton Shirts,Origin Criteria A,500 kg,INV-001 dated 2024-06-01,Certified by Chamber of Commerce,Declared by ABC Exports
GSP-REF-002,Chennai,Global Textiles\n9 Marina Blvd\nChennai,Fashion Ltd\n12 Trade Street\nLondon,UK via Air,Cleared after inspection,2,Carton-A12,Women's Silk Dresses,Origin Criteria B,320 kg,INV-002 dated 2024-06-05,Certification by Officer Ramesh,Declaration by Global Textiles
GSP-REF-003,Delhi,Spices & More\nOld Market\nDelhi,EuroTrade GmbH\nMainplatz 22\nBerlin,Air Freight via Frankfurt,Approved,3,Crate-33,Ground Turmeric Powder,Criteria C,200 kg,INV-003 dated 2024-06-10,Certified Export Council,Self-declared
GSP-REF-004,Kolkata,Bengal Crafts\nBlock C\nKolkata,Handmade Ltd\n123 Arts St\nParis,Sea via Rotterdam,All docs checked,4,Pallet-55,Handmade Jute Bags,Criterion A,150 kg,INV-004 dated 2024-06-15,Approved by GSP Desk,Declaration by Exporter
GSP-REF-005,Mumbai,Maha Pharma Ltd\nAndheri East\nMumbai,Wellness GmbH\nHealth Strasse 77\nVienna,Air Cargo direct,Passed,5,Box-222,Herbal Capsules,Criterion B,100 kg,INV-005 dated 2024-06-20,Authorized Officer Certification,Declaration enclosed
GSP-REF-006,Bangalore,TechGear\nIT Park Road\nBangalore,TechBuyers Ltd\nSilicon Park\nStockholm,Sea via Hamburg,Verified for GSP use,6,Box-TG45,USB Keyboards & Mice,Criterion D,420 kg,INV-006 dated 2024-06-22,Chamber Verified,Exporter Declaration
GSP-REF-007,Hyderabad,Deccan Seeds Ltd\nAgro Lane\nHyderabad,AgroTraders\nBioMarket\nRome,Air via Doha,Approved and Verified,7,Sack-7A,Sunflower Seeds,Criterion C,280 kg,INV-007 dated 2024-06-25,Verified at Export House,Declared
GSP-REF-008,Ahmedabad,Gujarat Ceramics\nIndustrial Zone\nAhmedabad,Tile Corp\nBuild Park\nOslo,Sea via Antwerp,Approved for preferential duty,8,Box-CR99,Ceramic Floor Tiles,Criterion B,900 kg,INV-008 dated 2024-06-28,Certification Complete,Declaration Filed
GSP-REF-009,Surat,Fabrix Ltd\nTextile Lane\nSurat,Mode Ltd\nFashion Ave\nMadrid,Direct Air Freight,Approved,9,Bale-88,Printed Cotton Fabrics,Criterion A,750 kg,INV-009 dated 2024-07-01,GSP Team Verified,Declaration Done
GSP-REF-010,Pune,AutoParts India\nSector 3\nPune,Motor GmbH\nAuto Platz\nMunich,Sea via Genoa,All docs checked,10,Crate-APX12,Automotive Brake Pads,Criterion D,300 kg,INV-010 dated 2024-07-03,Verified Certification,Declared by Officer
